sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_jail_time (days),date_dif_in_jail,c_charge_degree,is_recid,decile_score,score_text,two_year_recid
Male,Greater than 45,Caucasian,0,0,0,0,-1,2013-12-29 06:37:02,2013-12-31 10:29:24,2.16136574073607,2,F,0,1,Low,0
Male,Greater than 45,Other,0,0,0,7,-1,2013-04-03 04:47:14,2013-04-07 02:54:34,3.92175925925403,4,F,1,3,Low,1
Female,25 - 45,Caucasian,0,0,0,4,-1,2013-12-02 01:48:34,2013-12-13 05:25:42,11.1507870370333,11,M,1,5,Medium,1
Male,Less than 25,Caucasian,0,0,0,1,0,2013-09-15 03:47:52,2013-09-16 06:50:10,1.12659722222452,1,M,1,2,Low,1
Male,25 - 45,African-American,2,1,3,21,0,2013-01-11 02:19:35,2013-02-13 09:33:11,33.3011111111118,33,F,1,9,High,1
Male,25 - 45,Caucasian,0,0,0,0,0,2013-01-16 12:44:00,2013-01-16 06:49:32,0.246157407404098,0,M,0,2,Low,0
Female,Less than 25,African-American,0,0,0,2,-1,2013-08-23 10:37:03,2013-11-11 04:30:55,79.7457407407419,80,F,0,8,High,0
Male,Greater than 45,African-American,0,0,0,2,-1,2013-02-27 04:44:18,2013-02-28 08:01:39,1.13704861111182,1,M,0,1,Low,0
Male,25 - 45,Caucasian,0,0,0,2,-1,2014-04-05 08:45:01,2014-04-06 01:46:41,0.709490740744513,1,M,1,2,Low,1
Female,Greater than 45,African-American,0,0,0,7,-1,2013-02-13 09:29:56,2013-02-15 01:35:37,1.67061342592933,2,F,0,2,Low,0
Male,25 - 45,African-American,0,0,0,0,0,2014-03-03 04:28:58,2014-03-03 09:10:41,0.195636574077071,0,F,1,7,Medium,1
Male,25 - 45,Caucasian,0,0,0,9,-1,2014-03-27 10:17:55,2014-04-03 09:27:42,6.96512731481198,7,M,1,10,High,1
Male,25 - 45,African-American,1,0,4,13,-1,2014-05-18 04:05:09,2014-05-19 01:47:37,0.904490740744222,1,F,1,8,High,1
Male,Greater than 45,Caucasian,0,0,0,0,0,2013-08-02 04:43:01,2013-08-02 08:31:32,0.158692129625706,0,M,0,1,Low,0
Male,25 - 45,African-American,0,0,0,0,0,2013-04-24 04:28:24,2013-04-24 08:20:12,0.160972222220153,0,F,0,4,Low,0
Male,25 - 45,Caucasian,0,0,0,1,-24,2013-05-10 05:18:38,2013-05-10 07:43:04,0.100300925922056,0,F,1,2,Low,1
Female,25 - 45,Other,0,0,0,0,-1,2013-11-17 09:43:17,2013-11-18 08:03:35,0.930763888893125,1,F,0,2,Low,0
Male,25 - 45,African-American,0,0,1,15,-1,2013-03-17 09:02:33,2013-07-31 08:23:26,135.97283564815,136,F,1,5,Medium,0
Male,Less than 25,African-American,0,0,0,2,-1,2013-09-17 07:19:20,2013-09-19 04:16:03,1.87271990740555,2,F,1,4,Low,1
Male,25 - 45,Hispanic,0,0,0,0,0,2013-01-20 02:50:51,2013-02-12 09:16:13,23.2676157407404,23,M,0,7,Medium,0
Male,Greater than 45,African-American,0,0,0,4,-1,2013-08-26 09:16:39,2013-08-27 06:57:19,0.903240740735782,1,M,0,1,Low,0
Male,Greater than 45,Caucasian,0,0,0,8,-13,2013-05-15 08:36:10,2013-05-28 10:06:35,13.0627893518467,13,F,0,5,Medium,0
Male,25 - 45,African-American,0,0,0,5,-1,2013-02-10 07:44:42,2013-02-11 07:04:44,0.972245370372548,1,F,0,3,Low,0
Male,25 - 45,African-American,1,1,2,15,-1,2014-08-29 04:58:13,2014-08-30 08:38:48,1.15318287037371,1,F,1,10,High,1
Male,25 - 45,Caucasian,0,0,0,4,-1,2013-02-03 11:59:25,2013-02-05 11:05:50,1.96278935185546,2,M,1,2,Low,1
Male,Less than 25,African-American,0,0,1,1,-1,2013-11-15 06:56:49,2013-11-16 07:51:56,1.03827546296816,1,F,1,4,Low,1
Male,25 - 45,African-American,0,0,0,4,-1,2013-01-25 10:34:01,2013-02-13 09:36:41,18.9601851851912,19,F,1,9,High,1
Male,Greater than 45,Hispanic,0,0,0,0,0,2013-01-08 12:33:09,2013-01-08 09:41:28,0.119224537033006,0,M,0,1,Low,0
Male,25 - 45,African-American,0,1,0,6,0,2014-04-30 02:11:49,2014-05-30 04:59:14,30.1162615740759,30,F,1,6,Medium,1
Male,25 - 45,Other,0,0,0,0,-1,2014-03-08 01:34:03,2014-03-09 10:21:45,1.36645833333023,1,M,0,1,Low,0
Female,Greater than 45,African-American,0,0,0,0,0,2013-09-28 02:52:18,2013-10-01 07:39:52,3.19969907407358,3,M,0,1,Low,0
Male,Greater than 45,Hispanic,0,0,0,6,-1,2013-01-12 05:43:00,2013-09-11 04:51:56,241.964537037042,242,F,1,1,Low,1
Male,Less than 25,Hispanic,0,0,0,1,-1,2013-05-24 06:06:17,2013-05-25 07:28:17,1.05694444444089,1,F,0,4,Low,0
Male,25 - 45,African-American,0,0,0,1,-1,2013-03-06 11:23:53,2013-03-11 09:00:57,4.90074074074073,5,M,0,4,Low,0
Male,25 - 45,African-American,0,0,0,5,0,2013-01-07 02:12:47,2013-01-08 05:19:42,1.12980324074306,1,F,1,6,Medium,1
Male,25 - 45,Caucasian,0,0,1,1,-1,2014-12-02 03:23:28,2014-12-16 09:24:24,14.2506481481541,14,F,1,6,Medium,1
Male,25 - 45,African-American,0,0,0,2,-15,2013-07-02 03:42:01,2013-07-05 08:13:10,3.18829861110862,3,F,0,2,Low,0
Male,Less than 25,African-American,0,0,0,1,0,2013-08-25 12:07:09,2013-09-11 08:04:08,16.8312384259261,17,M,1,3,Low,1
Male,Less than 25,Caucasian,0,0,0,0,-1,2013-02-18 12:24:07,2013-04-17 10:32:09,57.9222453703696,58,F,0,8,High,0
Female,25 - 45,African-American,0,0,0,1,-1,2013-11-07 09:01:45,2013-11-09 09:07:50,2.00422453703504,2,F,1,4,Low,1
Male,25 - 45,African-American,0,0,0,0,-1,2013-03-03 03:33:48,2013-03-04 07:08:59,1.14943287037022,1,F,0,2,Low,0
Male,25 - 45,African-American,0,0,0,1,-1,2013-02-27 09:49:07,2013-03-01 01:59:16,1.67371527777868,2,M,0,2,Low,0
Male,25 - 45,African-American,0,0,0,8,-1,2013-02-20 02:14:37,2013-02-21 07:47:06,1.23089120369696,1,M,1,10,High,1
Male,Greater than 45,Other,0,0,0,0,-1,2014-08-06 12:43:24,2014-08-07 08:29:46,0.823865740741894,1,F,1,1,Low,1
Male,25 - 45,African-American,1,6,1,14,-1,2013-04-19 02:20:32,2013-04-26 05:45:46,7.14252314814803,7,F,1,10,High,1
Male,Less than 25,Other,0,0,0,0,-1,2013-10-02 05:50:22,2013-10-03 08:15:24,1.10071759259154,1,F,1,5,Medium,1
Male,Less than 25,African-American,1,0,0,2,0,2014-01-16 02:39:46,2014-02-15 04:39:31,30.0831597222277,30,F,1,9,High,1
Female,25 - 45,African-American,0,0,0,1,-1,2013-03-29 06:55:39,2013-03-30 03:12:37,0.845115740747133,1,M,0,2,Low,0
Male,25 - 45,African-American,0,0,0,9,0,2014-04-29 12:24:22,2014-05-03 04:26:44,3.6683101851886,4,F,1,7,Medium,1
Male,25 - 45,Caucasian,0,0,0,7,0,2013-01-12 04:53:07,2013-01-12 07:28:51,0.108148148152395,0,F,1,8,High,1
Male,Less than 25,Other,0,0,0,1,0,2013-04-20 12:30:29,2013-04-24 10:36:19,3.92071759259125,4,F,1,6,Medium,1
Male,25 - 45,Caucasian,0,0,0,9,-1,2014-12-12 07:27:40,2014-12-13 07:23:49,0.997326388889633,1,F,1,8,High,1
Female,Less than 25,Caucasian,0,0,0,0,-1,2013-11-13 11:21:14,2013-11-14 01:36:21,0.59383101851563,1,F,0,7,Medium,0
Male,25 - 45,Caucasian,0,0,0,2,-2,2013-02-11 12:50:21,2013-02-11 07:33:17,0.220185185185983,0,F,1,1,Low,1
Female,Greater than 45,Caucasian,0,0,0,0,0,2013-04-15 01:07:24,2013-04-15 07:56:24,0.284027777779556,0,M,0,1,Low,0
Female,25 - 45,Hispanic,0,0,0,0,-2,2013-08-18 03:23:05,2013-08-19 06:27:00,1.12771990741021,1,M,0,1,Low,0
Male,Less than 25,African-American,0,0,0,1,-10,2014-11-04 07:39:38,2014-11-13 10:02:51,9.09945601852087,9,M,1,4,Low,1
Male,25 - 45,African-American,0,0,0,1,-1,2013-09-08 09:39:18,2013-09-09 08:03:09,0.933229166665114,1,F,0,2,Low,0
Female,25 - 45,Caucasian,0,0,0,0,-1,2013-09-04 11:36:38,2013-09-06 04:07:01,1.68776620370772,2,F,1,1,Low,1
Male,Less than 25,Caucasian,0,1,2,8,-1,2013-04-10 05:59:23,2013-04-22 10:32:05,12.1893750000017,12,F,1,6,Medium,1
Male,25 - 45,Caucasian,0,0,0,0,-1,2013-08-28 11:22:24,2013-09-03 10:40:45,5.97107638888701,6,F,0,4,Low,0
Male,25 - 45,Caucasian,0,0,0,0,-1,2014-02-20 09:46:47,2014-03-31 09:04:43,38.9707870370403,39,M,0,5,Medium,0
Female,25 - 45,Caucasian,0,0,0,1,-1,2013-02-25 07:42:47,2013-06-12 04:31:04,106.866863425923,107,F,0,4,Low,0
Male,25 - 45,Caucasian,0,0,0,1,-30,2013-07-16 06:41:37,2013-07-17 07:35:00,1.03707175925956,1,F,0,1,Low,0
Male,Less than 25,African-American,0,0,0,3,-1,2013-03-01 01:43:35,2013-03-07 08:20:12,6.27542824074044,6,F,1,9,High,1
Male,25 - 45,Caucasian,0,0,0,5,-1,2013-01-15 08:16:11,2013-01-18 04:32:15,2.84449074073927,3,M,1,4,Low,1
Male,25 - 45,Caucasian,0,0,0,0,0,2013-02-15 10:54:22,2013-03-02 09:04:47,14.9239004629635,15,F,0,5,Medium,0
Male,25 - 45,African-American,0,0,0,5,0,2013-11-17 01:23:30,2013-11-17 08:15:06,0.285833333335177,0,F,1,5,Medium,1
Male,25 - 45,African-American,0,0,0,3,0,2013-11-18 03:46:24,2013-11-19 10:18:36,1.27236111110687,1,F,0,2,Low,0
Male,25 - 45,Caucasian,0,0,0,1,0,2013-03-16 03:53:03,2013-03-17 01:43:20,0.909918981487863,1,F,1,2,Low,1
Male,25 - 45,African-American,0,1,0,10,0,2013-09-06 04:25:05,2014-03-01 04:39:46,176.010196759256,176,F,1,9,High,1
Male,Less than 25,African-American,0,0,0,0,-1,2013-11-12 03:57:04,2013-11-13 01:01:29,0.878067129626288,1,F,1,4,Low,1
Male,25 - 45,African-American,0,12,2,28,-1,2014-01-10 08:06:40,2014-01-12 04:07:52,1.83416666666744,2,F,1,8,High,1
Male,25 - 45,African-American,0,0,0,1,-1,2013-10-13 03:47:49,2013-10-14 08:18:17,1.18782407407707,1,M,0,7,Medium,0
Female,25 - 45,Other,0,0,0,1,-1,2013-10-28 07:07:32,2013-10-29 09:49:38,1.11256944444904,1,F,0,2,Low,0
Male,25 - 45,Caucasian,0,0,0,13,-1,2013-02-25 06:43:30,2014-06-11 12:57:06,471.259444444448,471,F,1,10,High,1
Male,25 - 45,African-American,0,0,0,3,-1,2014-11-14 12:10:00,2014-11-15 11:29:02,0.97155092592584,1,F,1,9,High,1
Male,Greater than 45,Caucasian,0,0,0,3,-2,2013-07-27 10:50:36,2013-07-28 02:01:45,0.63274305556115,1,M,0,9,High,0
Male,25 - 45,African-American,0,0,0,19,-1,2013-12-28 10:22:08,2013-12-29 07:10:39,0.867025462961465,1,F,1,10,High,1
Male,25 - 45,Caucasian,0,0,0,6,-4,2013-09-13 12:01:41,2013-09-13 09:01:37,0.125046296292567,0,F,0,3,Low,0
Female,25 - 45,Caucasian,0,0,0,2,-1,2013-12-22 01:36:59,2013-12-25 02:33:32,3.03927083333838,3,F,0,4,Low,0
Male,25 - 45,Caucasian,0,0,0,1,-20,2013-10-30 06:36:57,2013-11-03 02:08:43,3.8137268518476,4,M,0,2,Low,0
Female,25 - 45,Other,0,0,0,2,-1,2013-12-29 10:42:45,2013-12-31 04:10:00,1.72725694443943,2,M,0,2,Low,0
Male,25 - 45,Caucasian,0,0,0,0,-1,2014-12-18 11:16:49,2014-12-19 08:34:46,0.887465277781303,1,M,1,2,Low,1
Female,Less than 25,African-American,0,0,0,0,-1,2014-02-06 01:25:28,2014-02-08 12:00:39,2.44109953703446,2,M,0,2,Low,0
Female,25 - 45,Caucasian,0,1,0,10,-1,2014-11-18 07:08:18,2014-11-25 09:31:21,7.09934027778218,7,F,1,4,Low,1
Male,25 - 45,Caucasian,0,0,0,2,0,2014-01-27 02:05:45,2014-01-27 01:32:12,0.023298611107748,0,M,1,2,Low,1
Male,25 - 45,African-American,0,0,0,3,-1,2013-01-01 07:06:35,2013-01-09 08:36:21,8.06233796296874,8,F,1,7,Medium,1
Male,25 - 45,Caucasian,0,0,0,2,-16,2013-08-20 05:28:11,2013-09-04 08:35:41,15.1302083333358,15,M,1,3,Low,1
Male,25 - 45,African-American,0,0,0,1,-1,2013-01-16 05:37:32,2013-01-17 07:15:11,1.06781250000495,1,M,1,2,Low,0
Male,Greater than 45,Caucasian,0,0,0,1,-1,2013-04-01 11:13:32,2013-04-02 01:06:22,0.578356481477385,1,F,1,2,Low,1
Female,Less than 25,African-American,1,0,0,1,0,2013-11-20 09:36:33,2013-11-23 04:06:00,2.77045138888207,3,F,0,10,High,0
Female,25 - 45,Caucasian,0,0,0,0,0,2013-05-14 04:01:02,2013-05-15 03:11:16,0.965439814819547,1,M,0,1,Low,0
Male,25 - 45,African-American,1,1,0,9,-1,2014-04-18 02:31:13,2014-05-01 05:39:49,13.1309722222213,13,F,1,8,High,1
Male,25 - 45,African-American,0,0,0,11,-2,2014-12-17 02:03:04,2014-12-18 08:41:05,1.27640046296438,1,F,1,6,Medium,1
Male,25 - 45,African-American,0,0,0,8,-1,2013-12-25 07:37:38,2013-12-26 01:30:44,0.745208333333721,1,M,1,5,Medium,1
Female,25 - 45,African-American,0,0,0,0,-1,2014-10-22 11:17:38,2014-10-24 06:08:10,1.7850925925959,2,F,1,3,Low,1
Female,25 - 45,African-American,0,0,0,7,-1,2013-01-10 01:18:15,2013-02-05 05:36:46,26.1795254629615,26,F,1,9,High,1
Male,25 - 45,African-American,0,0,0,2,-1,2013-04-15 05:49:27,2013-04-16 07:48:50,1.08290509259678,1,F,1,9,High,1
Female,Less than 25,African-American,0,0,0,0,0,2013-12-07 03:39:31,2013-12-07 07:28:49,0.159236111110658,0,F,0,6,Medium,0
Female,25 - 45,Caucasian,0,0,0,0,-2,2014-01-25 04:45:14,2014-01-26 02:13:40,0.89474537037313,1,M,0,6,Medium,0
Female,Greater than 45,African-American,0,0,0,1,-1,2013-04-26 07:00:16,2013-04-27 01:09:09,0.756168981482915,1,F,1,1,Low,1
Male,Greater than 45,Other,0,0,0,13,-1,2013-05-14 09:51:40,2013-05-16 03:32:12,1.73648148148641,2,F,1,7,Medium,1
Male,Greater than 45,Hispanic,0,0,0,1,-26,2014-01-10 09:45:32,2014-01-25 05:08:15,14.8074421296333,15,F,0,1,Low,0
Female,25 - 45,African-American,0,0,0,4,-7,2014-04-16 09:55:10,2014-04-23 05:27:00,6.81377314814745,7,F,1,10,High,1
Male,25 - 45,Hispanic,0,0,0,1,-1,2013-09-05 06:24:46,2013-09-06 03:39:35,0.885289351856045,1,F,0,4,Low,0
Female,25 - 45,African-American,0,0,0,2,-1,2013-03-09 07:15:19,2013-03-10 01:31:38,0.761331018518831,1,M,1,4,Low,1
Male,25 - 45,Caucasian,1,0,0,1,-1,2014-02-10 10:59:01,2014-02-14 09:09:06,3.92366898147884,4,M,0,4,Low,0
Female,25 - 45,Caucasian,0,0,0,3,0,2013-05-02 04:01:43,2014-10-14 06:03:58,530.08489583333,530,F,1,7,Medium,1
Male,25 - 45,African-American,0,0,0,1,0,2013-03-02 01:19:52,2013-05-11 04:23:17,70.1273726851869,70,F,0,7,Medium,0
Male,Greater than 45,Caucasian,0,0,0,2,-1,2013-09-25 12:51:27,2013-09-26 08:42:11,0.826898148152395,1,M,0,2,Low,0
Male,Less than 25,African-American,0,0,0,1,-1,2013-05-15 12:16:21,2013-05-16 09:03:09,0.865833333336923,1,F,0,2,Low,0
Male,Greater than 45,Caucasian,0,0,0,6,22,2013-03-05 09:31:17,2013-03-28 01:40:17,22.6729166666701,23,F,1,1,Low,1
Male,25 - 45,Caucasian,0,0,0,0,0,2013-04-20 02:52:11,2013-04-22 09:19:35,2.26902777778014,2,F,0,5,Medium,0
Male,25 - 45,African-American,0,0,0,1,-1,2013-09-16 03:35:39,2013-09-18 01:39:28,1.91931712962833,2,M,1,2,Low,1
Male,Less than 25,Hispanic,0,0,0,0,-1,2013-09-08 01:03:31,2013-09-08 02:03:07,0.041388888887013,0,F,0,3,Low,0
Female,25 - 45,African-American,0,0,0,5,-1,2013-02-17 07:51:04,2013-02-18 10:17:02,1.1013657407384,1,F,0,7,Medium,0
Male,Greater than 45,Hispanic,0,0,0,2,-1,2013-03-04 10:07:00,2013-03-07 11:56:36,3.07611111111328,3,M,0,1,Low,0
Male,Greater than 45,African-American,0,0,0,8,0,2013-02-05 12:23:14,2013-02-21 04:06:55,15.6553356481454,16,F,0,4,Low,0
Male,25 - 45,Hispanic,0,0,0,8,29,2013-08-23 05:18:39,2013-12-18 10:43:00,117.225243055553,117,F,1,9,High,1
Male,25 - 45,African-American,0,0,0,6,-1,2013-03-17 09:01:58,2013-03-18 01:40:10,0.693194444444089,1,M,1,6,Medium,1
Male,Greater than 45,Hispanic,0,0,0,2,-1,2013-08-28 02:23:37,2014-03-04 11:31:17,188.380324074074,188,F,0,1,Low,0
Male,Greater than 45,Hispanic,0,0,0,0,-1,2013-03-13 10:02:13,2013-03-14 02:21:27,0.680023148146574,1,F,0,2,Low,0
Male,Greater than 45,Caucasian,0,0,0,1,-1,2014-09-19 10:36:52,2014-09-20 07:10:15,0.856516203704814,1,M,1,1,Low,1
Male,Greater than 45,Caucasian,0,0,0,0,-1,2014-03-02 03:51:04,2014-03-03 07:47:20,1.1640740740695,1,F,0,1,Low,0
Male,Less than 25,Other,0,0,0,0,-1,2014-01-13 09:13:09,2014-01-15 08:37:12,1.97503472222161,2,F,0,2,Low,0
Male,Less than 25,African-American,0,0,0,1,0,2014-04-24 01:23:50,2014-04-24 01:25:52,0.001412037032424,0,F,1,5,Medium,1
Male,Greater than 45,African-American,0,0,0,23,-1,2013-02-02 08:19:13,2013-02-03 05:06:15,0.865995370368182,1,M,1,8,High,1
Male,Less than 25,African-American,0,0,0,0,-1,2014-01-05 11:08:48,2014-01-06 12:02:14,1.03710648148262,1,M,1,2,Low,1
Male,Greater than 45,Hispanic,0,0,0,1,0,2013-10-25 09:20:19,2013-11-14 02:05:31,19.6980555555565,20,F,0,1,Low,0
Male,Greater than 45,African-American,0,0,0,3,-10,2013-06-01 11:04:44,2013-06-03 11:25:14,2.01423611111386,2,F,1,1,Low,0
Male,Greater than 45,Caucasian,0,0,0,8,0,2014-02-17 02:38:50,2014-04-29 04:18:29,71.0692013888911,71,M,1,4,Low,1
Male,25 - 45,African-American,0,0,0,2,0,2013-12-24 03:40:12,2013-12-24 08:53:51,0.217812499999127,0,M,1,9,High,1
Male,25 - 45,Caucasian,0,0,0,0,0,2014-03-02 05:08:46,2014-03-03 03:17:00,0.922384259261889,1,F,1,4,Low,1
Male,25 - 45,African-American,0,0,0,9,0,2014-11-14 01:28:54,2015-02-01 08:34:27,79.2955208333297,79,F,1,9,High,1
Male,Greater than 45,Caucasian,0,0,0,2,-1,2013-01-31 04:11:55,2014-01-25 03:27:03,358.968842592592,359,F,0,3,Low,0
Male,Less than 25,African-American,0,0,0,0,-1,2014-04-25 10:29:59,2014-04-26 09:57:20,0.977326388892834,1,F,1,3,Low,1
Male,25 - 45,African-American,0,0,0,2,0,2014-01-31 12:35:27,2014-02-26 05:50:20,25.7186689814844,26,M,1,2,Low,0
Female,Less than 25,African-American,0,0,0,1,-1,2013-08-20 11:57:06,2013-08-21 07:50:16,0.828587962962047,1,M,0,4,Low,0
Male,25 - 45,Other,0,0,0,2,-1,2014-01-27 10:23:53,2014-01-30 10:04:48,2.98674768518686,3,M,1,3,Low,1
Male,Greater than 45,Caucasian,0,0,0,1,-4,2013-09-12 09:32:07,2013-09-14 03:06:18,1.73207175925927,2,F,0,1,Low,0
Female,25 - 45,Caucasian,0,0,0,0,-1,2013-11-07 02:53:47,2013-11-07 09:00:57,0.254976851851097,0,M,0,3,Low,0
Male,25 - 45,Caucasian,0,0,0,4,0,2013-01-06 04:51:37,2013-01-07 10:41:46,1.24315972221666,1,M,0,4,Low,0
Female,25 - 45,African-American,0,1,0,23,-1,2014-07-12 03:02:54,2014-07-14 05:19:00,2.09451388889283,2,F,1,9,High,1
Male,Less than 25,Other,0,0,0,5,-1,2014-10-07 12:01:33,2014-10-08 08:26:09,0.850416666668025,1,F,1,5,Medium,1
Male,25 - 45,African-American,0,0,0,2,-1,2013-04-17 06:43:21,2013-04-18 10:07:23,1.14168981481635,1,F,1,10,High,1
Male,25 - 45,African-American,0,0,0,0,-1,2013-03-25 12:25:41,2013-03-28 05:58:56,2.7314236111124,3,M,0,2,Low,0
Female,25 - 45,African-American,0,0,0,0,0,2013-10-29 04:01:57,2013-11-27 06:51:07,29.117476851854,29,F,0,8,High,0
Female,25 - 45,Caucasian,0,0,0,7,-1,2013-10-09 09:15:07,2013-10-10 09:46:20,1.02167824073695,1,F,1,9,High,1
Male,25 - 45,African-American,0,0,0,2,-1,2013-03-19 04:21:06,2013-03-20 09:34:48,1.21784722222219,1,F,0,1,Low,0
Female,25 - 45,African-American,0,0,0,1,-1,2013-01-01 06:27:15,2013-02-09 02:24:08,38.83116898148,39,F,0,9,High,0
Male,Greater than 45,Caucasian,0,0,0,7,-1,2013-03-19 11:00:49,2013-03-20 01:32:28,0.605312500003492,1,F,1,1,Low,1
Male,25 - 45,African-American,0,0,0,15,-1,2013-02-18 09:26:05,2013-02-20 03:43:56,1.76239583333518,2,F,0,9,High,0
Male,25 - 45,African-American,0,0,0,2,-1,2013-10-30 07:57:19,2013-10-31 01:45:23,0.741712962961174,1,M,0,5,Medium,0
Female,Greater than 45,Caucasian,0,0,0,0,-1,2014-01-12 08:37:58,2014-01-13 02:00:36,0.724050925920892,1,M,1,1,Low,1
Male,Greater than 45,Caucasian,0,0,0,0,-1,2013-10-30 11:27:14,2013-10-31 08:46:16,0.888217592590081,1,M,0,2,Low,0
Male,25 - 45,Other,0,0,0,1,-1,2013-01-06 09:15:11,2013-01-07 11:01:40,1.07394675925752,1,M,1,1,Low,1
Male,Greater than 45,African-American,0,0,0,0,-1,2013-01-12 06:40:25,2013-01-13 09:03:52,1.0996180555594,1,F,0,1,Low,0
Male,25 - 45,Caucasian,0,0,0,4,0,2013-04-17 04:44:25,2013-04-19 01:08:53,1.85032407407562,2,F,1,3,Low,1
Female,25 - 45,African-American,0,0,0,2,-1,2013-05-12 06:56:40,2013-05-15 02:06:25,2.79843750000146,3,F,0,7,Medium,0
Female,25 - 45,African-American,0,0,0,5,0,2013-11-05 02:09:51,2013-11-05 07:57:55,0.241712962961174,0,M,0,6,Medium,0
Male,25 - 45,African-American,0,0,0,11,-1,2013-04-23 07:22:20,2013-12-02 11:28:01,223.170613425929,223,F,1,10,High,1
Male,25 - 45,African-American,0,0,0,0,-1,2013-02-16 07:22:50,2013-02-18 02:10:02,1.78277777777839,2,M,1,1,Low,0
